age_band,sex_mf,education_tier,level,prob,backoff,n_cell
19-29,M,lower,1,0.2199,age+sex,98
19-29,M,lower,2,0.2654,age+sex,98
19-29,M,lower,3,0.2681,age+sex,98
19-29,M,lower,4,0.0824,age+sex,98
19-29,M,lower,5,0.1643,age+sex,98
19-29,M,higher,1,0.2263,age+sex+edu,88
19-29,M,higher,2,0.2396,age+sex+edu,88
19-29,M,higher,3,0.2802,age+sex+edu,88
19-29,M,higher,4,0.0783,age+sex+edu,88
19-29,M,higher,5,0.1756,age+sex+edu,88
19-29,F,lower,1,0.1937,age+sex,87
19-29,F,lower,2,0.284,age+sex,87
19-29,F,lower,3,0.1599,age+sex,87
19-29,F,lower,4,0.1641,age+sex,87
19-29,F,lower,5,0.1983,age+sex,87
19-29,F,higher,1,0.2092,age+sex+edu,81
19-29,F,higher,2,0.3066,age+sex+edu,81
19-29,F,higher,3,0.1727,age+sex+edu,81
19-29,F,higher,4,0.1676,age+sex+edu,81
19-29,F,higher,5,0.1439,age+sex+edu,81
30-44,M,lower,1,0.0434,age+edu,55
30-44,M,lower,2,0.1702,age+edu,55
30-44,M,lower,3,0.4003,age+edu,55
30-44,M,lower,4,0.2334,age+edu,55
30-44,M,lower,5,0.1528,age+edu,55
30-44,M,higher,1,0.3306,age+sex+edu,86
30-44,M,higher,2,0.2543,age+sex+edu,86
30-44,M,higher,3,0.1573,age+sex+edu,86
30-44,M,higher,4,0.1904,age+sex+edu,86
30-44,M,higher,5,0.0674,age+sex+edu,86
30-44,F,lower,1,0.0778,age+sex+edu,34
30-44,F,lower,2,0.2245,age+sex+edu,34
30-44,F,lower,3,0.3754,age+sex+edu,34
30-44,F,lower,4,0.0867,age+sex+edu,34
30-44,F,lower,5,0.2356,age+sex+edu,34
30-44,F,higher,1,0.2762,age+sex+edu,90
30-44,F,higher,2,0.2394,age+sex+edu,90
30-44,F,higher,3,0.2668,age+sex+edu,90
30-44,F,higher,4,0.0925,age+sex+edu,90
30-44,F,higher,5,0.1251,age+sex+edu,90
45-59,M,lower,1,0.1989,age+sex+edu,48
45-59,M,lower,2,0.2218,age+sex+edu,48
45-59,M,lower,3,0.1456,age+sex+edu,48
45-59,M,lower,4,0.1753,age+sex+edu,48
45-59,M,lower,5,0.2585,age+sex+edu,48
45-59,M,higher,1,0.3367,age+sex+edu,60
45-59,M,higher,2,0.2158,age+sex+edu,60
45-59,M,higher,3,0.178,age+sex+edu,60
45-59,M,higher,4,0.1543,age+sex+edu,60
45-59,M,higher,5,0.1151,age+sex+edu,60
45-59,F,lower,1,0.1072,age+sex+edu,71
45-59,F,lower,2,0.2695,age+sex+edu,71
45-59,F,lower,3,0.1819,age+sex+edu,71
45-59,F,lower,4,0.2388,age+sex+edu,71
45-59,F,lower,5,0.2026,age+sex+edu,71
45-59,F,higher,1,0.2473,age+sex+edu,65
45-59,F,higher,2,0.1153,age+sex+edu,65
45-59,F,higher,3,0.3513,age+sex+edu,65
45-59,F,higher,4,0.1436,age+sex+edu,65
45-59,F,higher,5,0.1426,age+sex+edu,65
60-74,M,lower,1,0.0812,age+sex+edu,51
60-74,M,lower,2,0.1089,age+sex+edu,51
60-74,M,lower,3,0.1841,age+sex+edu,51
60-74,M,lower,4,0.2078,age+sex+edu,51
60-74,M,lower,5,0.4179,age+sex+edu,51
60-74,M,higher,1,0.0958,age+sex,63
60-74,M,higher,2,0.1356,age+sex,63
60-74,M,higher,3,0.2013,age+sex,63
60-74,M,higher,4,0.1908,age+sex,63
60-74,M,higher,5,0.3765,age+sex,63
60-74,F,lower,1,0.1063,age+sex+edu,86
60-74,F,lower,2,0.1062,age+sex+edu,86
60-74,F,lower,3,0.158,age+sex+edu,86
60-74,F,lower,4,0.2741,age+sex+edu,86
60-74,F,lower,5,0.3554,age+sex+edu,86
60-74,F,higher,1,0.1081,age+sex,97
60-74,F,higher,2,0.1296,age+sex,97
60-74,F,higher,3,0.1595,age+sex,97
60-74,F,higher,4,0.2389,age+sex,97
60-74,F,higher,5,0.3639,age+sex,97
75+,M,lower,1,0.1016,age+edu,94
75+,M,lower,2,0.1997,age+edu,94
75+,M,lower,3,0.118,age+edu,94
75+,M,lower,4,0.2383,age+edu,94
75+,M,lower,5,0.3424,age+edu,94
75+,M,higher,1,0.1072,age+sex,32
75+,M,higher,2,0.2503,age+sex,32
75+,M,higher,3,0.1086,age+sex,32
75+,M,higher,4,0.1808,age+sex,32
75+,M,higher,5,0.3531,age+sex,32
75+,F,lower,1,0.1059,age+sex+edu,68
75+,F,lower,2,0.1497,age+sex+edu,68
75+,F,lower,3,0.143,age+sex+edu,68
75+,F,lower,4,0.2512,age+sex+edu,68
75+,F,lower,5,0.3501,age+sex+edu,68
75+,F,higher,1,0.1015,age+sex,70
75+,F,higher,2,0.1522,age+sex,70
75+,F,higher,3,0.1371,age+sex,70
75+,F,higher,4,0.2407,age+sex,70
75+,F,higher,5,0.3686,age+sex,70
