age_band,education_tier,level,prob
19-29,higher,1,0.0012
19-29,higher,2,0.0623
19-29,higher,3,0.2571
19-29,higher,4,0.2946
19-29,higher,5,0.3848
19-29,lower,1,0.0108
19-29,lower,2,0.0774
19-29,lower,3,0.268
19-29,lower,4,0.2591
19-29,lower,5,0.3849
30-44,higher,1,0.0081
30-44,higher,2,0.0608
30-44,higher,3,0.2771
30-44,higher,4,0.3168
30-44,higher,5,0.3372
30-44,lower,1,0.0427
30-44,lower,2,0.1947
30-44,lower,3,0.3509
30-44,lower,4,0.2388
30-44,lower,5,0.173
45-59,higher,1,0.034
45-59,higher,2,0.1719
45-59,higher,3,0.3662
45-59,higher,4,0.262
45-59,higher,5,0.1658
45-59,lower,1,0.1419
45-59,lower,2,0.3675
45-59,lower,3,0.3154
45-59,lower,4,0.1218
45-59,lower,5,0.0533
60-74,higher,1,0.13
60-74,higher,2,0.3326
60-74,higher,3,0.3389
60-74,higher,4,0.1298
60-74,higher,5,0.0688
60-74,lower,1,0.5607
60-74,lower,2,0.2978
60-74,lower,3,0.1061
60-74,lower,4,0.0308
60-74,lower,5,0.0047
75+,higher,1,0.3471
75+,higher,2,0.2884
75+,higher,5,0.3645
75+,lower,1,0.8964
75+,lower,2,0.0719
75+,lower,3,0.0126
75+,lower,4,0.0173
75+,lower,5,0.0019
