age_band,education_tier,level,prob
30-44,lower,1,0.05
30-44,lower,2,0.15
30-44,lower,3,0.30
30-44,lower,4,0.30
30-44,lower,5,0.20
30-44,higher,1,0.02
30-44,higher,2,0.08
30-44,higher,3,0.20
30-44,higher,4,0.35
30-44,higher,5,0.35
45-59,lower,1,0.10
45-59,lower,2,0.25
45-59,lower,3,0.30
45-59,lower,4,0.20
45-59,lower,5,0.15
45-59,higher,1,0.04
45-59,higher,2,0.14
45-59,higher,3,0.27
45-59,higher,4,0.30
45-59,higher,5,0.25
60-74,lower,1,0.35
60-74,lower,2,0.30
60-74,lower,3,0.20
60-74,lower,4,0.10
60-74,lower,5,0.05
60-74,higher,1,0.15
60-74,higher,2,0.25
60-74,higher,3,0.30
60-74,higher,4,0.20
60-74,higher,5,0.10
75+,lower,1,0.55
75+,lower,2,0.25
75+,lower,3,0.12
75+,lower,4,0.05
75+,lower,5,0.03
75+,higher,1,0.35
75+,higher,2,0.30
75+,higher,3,0.20
75+,higher,4,0.10
75+,higher,5,0.05
