age_band,sex_mf,education_tier,outcome,prob,backoff,n_cell
19-29,M,lower,nonvictim,0.958,age+sex+edu,138
19-29,M,lower,victim_unreported,0.0352,age+sex+edu,138
19-29,M,lower,victim_reported,0.0068,age+sex+edu,138
19-29,M,higher,nonvictim,0.9583,age+sex+edu,661
19-29,M,higher,victim_unreported,0.0344,age+sex+edu,661
19-29,M,higher,victim_reported,0.0073,age+sex+edu,661
19-29,F,lower,nonvictim,0.9891,age+sex+edu,112
19-29,F,lower,victim_unreported,0.0,age+sex+edu,112
19-29,F,lower,victim_reported,0.0109,age+sex+edu,112
19-29,F,higher,nonvictim,0.9434,age+sex+edu,684
19-29,F,higher,victim_unreported,0.043,age+sex+edu,684
19-29,F,higher,victim_reported,0.0136,age+sex+edu,684
30-44,M,lower,nonvictim,0.9854,age+sex+edu,300
30-44,M,lower,victim_unreported,0.012,age+sex+edu,300
30-44,M,lower,victim_reported,0.0026,age+sex+edu,300
30-44,M,higher,nonvictim,0.9615,age+sex+edu,1226
30-44,M,higher,victim_unreported,0.0271,age+sex+edu,1226
30-44,M,higher,victim_reported,0.0115,age+sex+edu,1226
30-44,F,lower,nonvictim,0.951,age+sex+edu,469
30-44,F,lower,victim_unreported,0.0392,age+sex+edu,469
30-44,F,lower,victim_reported,0.0098,age+sex+edu,469
30-44,F,higher,nonvictim,0.94,age+sex+edu,1157
30-44,F,higher,victim_unreported,0.0479,age+sex+edu,1157
30-44,F,higher,victim_reported,0.0121,age+sex+edu,1157
45-59,M,lower,nonvictim,0.9712,age+sex+edu,1013
45-59,M,lower,victim_unreported,0.0205,age+sex+edu,1013
45-59,M,lower,victim_reported,0.0083,age+sex+edu,1013
45-59,M,higher,nonvictim,0.9828,age+sex+edu,815
45-59,M,higher,victim_unreported,0.0151,age+sex+edu,815
45-59,M,higher,victim_reported,0.0022,age+sex+edu,815
45-59,F,lower,nonvictim,0.9517,age+sex+edu,1567
45-59,F,lower,victim_unreported,0.0391,age+sex+edu,1567
45-59,F,lower,victim_reported,0.0092,age+sex+edu,1567
45-59,F,higher,nonvictim,0.9533,age+sex+edu,581
45-59,F,higher,victim_unreported,0.04,age+sex+edu,581
45-59,F,higher,victim_reported,0.0067,age+sex+edu,581
60-74,M,lower,nonvictim,0.9732,age+sex+edu,1049
60-74,M,lower,victim_unreported,0.0168,age+sex+edu,1049
60-74,M,lower,victim_reported,0.01,age+sex+edu,1049
60-74,M,higher,nonvictim,0.9698,age+sex+edu,180
60-74,M,higher,victim_unreported,0.028,age+sex+edu,180
60-74,M,higher,victim_reported,0.0022,age+sex+edu,180
60-74,F,lower,nonvictim,0.9687,age+sex+edu,1390
60-74,F,lower,victim_unreported,0.0162,age+sex+edu,1390
60-74,F,lower,victim_reported,0.0151,age+sex+edu,1390
60-74,F,higher,nonvictim,0.9547,age+sex+edu,70
60-74,F,higher,victim_unreported,0.0453,age+sex+edu,70
60-74,F,higher,victim_reported,0.0,age+sex+edu,70
75+,M,lower,nonvictim,0.9827,age+sex+edu,420
75+,M,lower,victim_unreported,0.0162,age+sex+edu,420
75+,M,lower,victim_reported,0.0011,age+sex+edu,420
75+,M,higher,nonvictim,0.9834,age+sex,439
75+,M,higher,victim_unreported,0.0156,age+sex,439
75+,M,higher,victim_reported,0.001,age+sex,439
75+,F,lower,nonvictim,0.974,age+sex+edu,742
75+,F,lower,victim_unreported,0.026,age+sex+edu,742
75+,F,lower,victim_reported,0.0,age+sex+edu,742
75+,F,higher,nonvictim,0.9745,age+sex,750
75+,F,higher,victim_unreported,0.0255,age+sex,750
75+,F,higher,victim_reported,0.0,age+sex,750
