age_band,sex_mf,education_tier,level,prob,backoff,n_cell
19-29,M,lower,0,0.958,age+sex+edu,138
19-29,M,lower,1,0.042,age+sex+edu,138
19-29,M,higher,0,0.9578,age+sex+edu,662
19-29,M,higher,1,0.0422,age+sex+edu,662
19-29,F,lower,0,0.9891,age+sex+edu,112
19-29,F,lower,1,0.0109,age+sex+edu,112
19-29,F,higher,0,0.9412,age+sex+edu,686
19-29,F,higher,1,0.0588,age+sex+edu,686
30-44,M,lower,0,0.9819,age+sex+edu,301
30-44,M,lower,1,0.0181,age+sex+edu,301
30-44,M,higher,0,0.9587,age+sex+edu,1229
30-44,M,higher,1,0.0413,age+sex+edu,1229
30-44,F,lower,0,0.9475,age+sex+edu,471
30-44,F,lower,1,0.0525,age+sex+edu,471
30-44,F,higher,0,0.938,age+sex+edu,1161
30-44,F,higher,1,0.062,age+sex+edu,1161
45-59,M,lower,0,0.9706,age+sex+edu,1015
45-59,M,lower,1,0.0294,age+sex+edu,1015
45-59,M,higher,0,0.9828,age+sex+edu,815
45-59,M,higher,1,0.0172,age+sex+edu,815
45-59,F,lower,0,0.951,age+sex+edu,1569
45-59,F,lower,1,0.049,age+sex+edu,1569
45-59,F,higher,0,0.9512,age+sex+edu,583
45-59,F,higher,1,0.0488,age+sex+edu,583
60-74,M,lower,0,0.9732,age+sex+edu,1049
60-74,M,lower,1,0.0268,age+sex+edu,1049
60-74,M,higher,0,0.9597,age+sex+edu,182
60-74,M,higher,1,0.0403,age+sex+edu,182
60-74,F,lower,0,0.9687,age+sex+edu,1390
60-74,F,lower,1,0.0313,age+sex+edu,1390
60-74,F,higher,0,0.9547,age+sex+edu,70
60-74,F,higher,1,0.0453,age+sex+edu,70
75+,M,lower,0,0.9827,age+sex+edu,420
75+,M,lower,1,0.0173,age+sex+edu,420
75+,M,higher,0,0.9834,age+sex,439
75+,M,higher,1,0.0166,age+sex,439
75+,F,lower,0,0.9733,age+sex+edu,743
75+,F,lower,1,0.0267,age+sex+edu,743
75+,F,higher,0,0.9738,age+sex,751
75+,F,higher,1,0.0262,age+sex,751
