age_band,sex_mf,education_tier,level,prob,backoff,n_cell
19-29,M,lower,0,0.7821,age,49
19-29,M,lower,1,0.2179,age,49
19-29,M,higher,0,0.7886,age+edu,46
19-29,M,higher,1,0.2114,age+edu,46
19-29,F,lower,0,0.7393,age+sex,32
19-29,F,lower,1,0.2607,age+sex,32
19-29,F,higher,0,0.7592,age+sex+edu,31
19-29,F,higher,1,0.2408,age+sex+edu,31
30-44,M,lower,0,0.7113,age+sex,52
30-44,M,lower,1,0.2887,age+sex,52
30-44,M,higher,0,0.7021,age+sex+edu,47
30-44,M,higher,1,0.2979,age+sex+edu,47
30-44,F,lower,0,0.7986,age+sex,89
30-44,F,lower,1,0.2014,age+sex,89
30-44,F,higher,0,0.7982,age+sex+edu,66
30-44,F,higher,1,0.2018,age+sex+edu,66
45-59,M,lower,0,0.7807,age+edu,108
45-59,M,lower,1,0.2193,age+edu,108
45-59,M,higher,0,0.8631,age+edu,46
45-59,M,higher,1,0.1369,age+edu,46
45-59,F,lower,0,0.8102,age+sex+edu,81
45-59,F,lower,1,0.1898,age+sex+edu,81
45-59,F,higher,0,0.8572,age+sex+edu,31
45-59,F,higher,1,0.1428,age+sex+edu,31
60-74,M,lower,0,0.5619,age+edu,61
60-74,M,lower,1,0.4381,age+edu,61
60-74,M,higher,0,0.6781,age+sex,33
60-74,M,higher,1,0.3219,age+sex,33
60-74,F,lower,0,0.5169,age+sex+edu,35
60-74,F,lower,1,0.4831,age+sex+edu,35
60-74,F,higher,0,0.551,age+sex,37
60-74,F,higher,1,0.449,age+sex,37
75+,M,lower,0,0.7655,global,439
75+,M,lower,1,0.2345,global,439
75+,M,higher,0,0.7655,global,439
75+,M,higher,1,0.2345,global,439
75+,F,lower,0,0.7655,global,439
75+,F,lower,1,0.2345,global,439
75+,F,higher,0,0.7655,global,439
75+,F,higher,1,0.2345,global,439
