age_band,sex_mf,education_tier,level,prob,backoff,n_cell
19-29,M,lower,1,0.4052,age+sex+edu,37
19-29,M,lower,3,0.1942,age+sex+edu,37
19-29,M,lower,4,0.2707,age+sex+edu,37
19-29,M,lower,5,0.13,age+sex+edu,37
19-29,M,higher,1,0.5007,age+sex+edu,198
19-29,M,higher,3,0.1561,age+sex+edu,198
19-29,M,higher,4,0.1953,age+sex+edu,198
19-29,M,higher,5,0.1479,age+sex+edu,198
19-29,F,lower,1,0.5752,age+sex+edu,36
19-29,F,lower,3,0.1137,age+sex+edu,36
19-29,F,lower,4,0.2293,age+sex+edu,36
19-29,F,lower,5,0.0818,age+sex+edu,36
19-29,F,higher,1,0.5473,age+sex+edu,177
19-29,F,higher,3,0.0519,age+sex+edu,177
19-29,F,higher,4,0.2486,age+sex+edu,177
19-29,F,higher,5,0.1522,age+sex+edu,177
30-44,M,lower,1,0.492,age+sex+edu,145
30-44,M,lower,3,0.2281,age+sex+edu,145
30-44,M,lower,4,0.2206,age+sex+edu,145
30-44,M,lower,5,0.0593,age+sex+edu,145
30-44,M,higher,1,0.4938,age+sex+edu,212
30-44,M,higher,3,0.0927,age+sex+edu,212
30-44,M,higher,4,0.2141,age+sex+edu,212
30-44,M,higher,5,0.1993,age+sex+edu,212
30-44,F,lower,1,0.5887,age+sex+edu,265
30-44,F,lower,3,0.1949,age+sex+edu,265
30-44,F,lower,4,0.153,age+sex+edu,265
30-44,F,lower,5,0.0634,age+sex+edu,265
30-44,F,higher,1,0.4311,age+sex+edu,218
30-44,F,higher,3,0.1691,age+sex+edu,218
30-44,F,higher,4,0.2457,age+sex+edu,218
30-44,F,higher,5,0.1542,age+sex+edu,218
45-59,M,lower,1,0.5219,age+sex+edu,210
45-59,M,lower,3,0.2095,age+sex+edu,210
45-59,M,lower,4,0.1777,age+sex+edu,210
45-59,M,lower,5,0.091,age+sex+edu,210
45-59,M,higher,1,0.4067,age+sex+edu,97
45-59,M,higher,3,0.3236,age+sex+edu,97
45-59,M,higher,4,0.1843,age+sex+edu,97
45-59,M,higher,5,0.0854,age+sex+edu,97
45-59,F,lower,1,0.4593,age+sex+edu,281
45-59,F,lower,3,0.2196,age+sex+edu,281
45-59,F,lower,4,0.2346,age+sex+edu,281
45-59,F,lower,5,0.0866,age+sex+edu,281
45-59,F,higher,1,0.4113,age+sex+edu,77
45-59,F,higher,3,0.2433,age+sex+edu,77
45-59,F,higher,4,0.2714,age+sex+edu,77
45-59,F,higher,5,0.074,age+sex+edu,77
60-74,M,lower,1,0.4995,age+sex+edu,190
60-74,M,lower,3,0.2462,age+sex+edu,190
60-74,M,lower,4,0.1623,age+sex+edu,190
60-74,M,lower,5,0.092,age+sex+edu,190
60-74,M,higher,1,0.4881,age+sex+edu,52
60-74,M,higher,3,0.2512,age+sex+edu,52
60-74,M,higher,4,0.2217,age+sex+edu,52
60-74,M,higher,5,0.039,age+sex+edu,52
60-74,F,lower,1,0.4697,age+sex+edu,278
60-74,F,lower,3,0.271,age+sex+edu,278
60-74,F,lower,4,0.1703,age+sex+edu,278
60-74,F,lower,5,0.089,age+sex+edu,278
60-74,F,higher,1,0.4657,age+edu,60
60-74,F,higher,3,0.2801,age+edu,60
60-74,F,higher,4,0.2204,age+edu,60
60-74,F,higher,5,0.0338,age+edu,60
75+,M,lower,1,0.3706,age+sex+edu,63
75+,M,lower,3,0.2668,age+sex+edu,63
75+,M,lower,4,0.2485,age+sex+edu,63
75+,M,lower,5,0.1141,age+sex+edu,63
75+,M,higher,1,0.3794,age+sex,78
75+,M,higher,3,0.2465,age+sex,78
75+,M,higher,4,0.2691,age+sex,78
75+,M,higher,5,0.105,age+sex,78
75+,F,lower,1,0.3999,age+sex+edu,125
75+,F,lower,3,0.2502,age+sex+edu,125
75+,F,lower,4,0.1958,age+sex+edu,125
75+,F,lower,5,0.1541,age+sex+edu,125
75+,F,higher,1,0.4043,age+sex,127
75+,F,higher,3,0.2462,age+sex,127
75+,F,higher,4,0.1927,age+sex,127
75+,F,higher,5,0.1567,age+sex,127
