attr,age_band,education_tier,level,prob,syn,abs_dev,cell_n
financial_vulnerability,19-29,,1,0.0146,0.014474027848414455,0.0001259721515855447,145502
financial_vulnerability,19-29,,2,0.0454,0.04518150953251502,0.00021849046748498302,145502
financial_vulnerability,19-29,,3,0.0982,0.09962062377149455,0.0014206237714945585,145502
financial_vulnerability,19-29,,4,0.341,0.34147984220148175,0.0004798422014817283,145502
financial_vulnerability,19-29,,5,0.5008,0.4992439966460942,0.0015560033539058216,145502
financial_vulnerability,30-44,,1,0.1144,0.11429086578779644,0.00010913421220355712,238488
financial_vulnerability,30-44,,2,0.2063,0.20585941431015398,0.00044058568984603474,238488
financial_vulnerability,30-44,,3,0.2327,0.23429690382744625,0.001596903827446261,238488
financial_vulnerability,30-44,,4,0.2575,0.2572288752473919,0.00027112475260809843,238488
financial_vulnerability,30-44,,5,0.1892,0.18832394082721143,0.0008760591727885736,238488
financial_vulnerability,45-59,,1,0.2595,0.25902061855670105,0.00047938144329895405,285568
financial_vulnerability,45-59,,2,0.2197,0.22139385365307038,0.0016938536530703707,285568
financial_vulnerability,45-59,,3,0.1948,0.19480824181981174,8.241819811738438e-06,285568
financial_vulnerability,45-59,,4,0.1669,0.16607252913491707,0.0008274708650829188,285568
financial_vulnerability,45-59,,5,0.1591,0.15870475683549978,0.0003952431645002086,285568
financial_vulnerability,60-74,,1,0.2564,0.25677997247839723,0.00037997247839721693,233998
financial_vulnerability,60-74,,2,0.2107,0.2100658979991282,0.0006341020008718001,233998
financial_vulnerability,60-74,,3,0.1952,0.1953008145368764,0.00010081453687638131,233998
financial_vulnerability,60-74,,4,0.1641,0.1633689176830571,0.0007310823169428826,233998
financial_vulnerability,60-74,,5,0.1737,0.17448439730254106,0.0007843973025410678,233998
financial_vulnerability,75+,,1,0.1451,0.14665505370992493,0.001555053709924925,96444
financial_vulnerability,75+,,2,0.1602,0.16060097051138483,0.00040097051138482387,96444
financial_vulnerability,75+,,3,0.1932,0.19193521629131932,0.001264783708680689,96444
financial_vulnerability,75+,,4,0.2076,0.20814151217286717,0.000541512172867159,96444
financial_vulnerability,75+,,5,0.2939,0.2926672473145038,0.001232752685496219,96444
digital_literacy,19-29,higher,1,0.0012,0.0012250787226512519,2.5078722651251982e-05,110197
digital_literacy,19-29,higher,2,0.0623,0.06227029773950289,2.97022604971095e-05,110197
digital_literacy,19-29,higher,3,0.2571,0.257003366697823,9.663330217701827e-05,110197
digital_literacy,19-29,higher,4,0.2946,0.2945724475257947,2.7552474205272404e-05,110197
digital_literacy,19-29,higher,5,0.3848,0.3849288093142282,0.00012880931422820652,110197
digital_literacy,19-29,lower,1,0.0108,0.011641410565075769,0.0008414105650757682,35305
digital_literacy,19-29,lower,2,0.0774,0.07845914176462257,0.0010591417646225731,35305
digital_literacy,19-29,lower,3,0.268,0.26707265259878205,0.0009273474012179705,35305
digital_literacy,19-29,lower,4,0.2591,0.2567908228296275,0.0023091771703724895,35305
digital_literacy,19-29,lower,5,0.3849,0.38603597224189207,0.001135972241892047,35305
digital_literacy,30-44,higher,1,0.0081,0.008534905292739018,0.0004349052927390181,182193
digital_literacy,30-44,higher,2,0.0608,0.06063350403143919,0.00016649596856081056,182193
digital_literacy,30-44,higher,3,0.2771,0.2765858183355014,0.0005141816644986252,182193
digital_literacy,30-44,higher,4,0.3168,0.3157969845164194,0.001003015483580616,182193
digital_literacy,30-44,higher,5,0.3372,0.33844878782390103,0.001248787823901032,182193
digital_literacy,30-44,lower,1,0.0427,0.04352073896438405,0.0008207389643840463,56295
digital_literacy,30-44,lower,2,0.1947,0.19253930189181986,0.002160698108180148,56295
digital_literacy,30-44,lower,3,0.3509,0.35093702815525357,3.702815525358227e-05,56295
digital_literacy,30-44,lower,4,0.2388,0.23959499067412737,0.0007949906741273605,56295
digital_literacy,30-44,lower,5,0.173,0.17340794031441514,0.0004079403144151561,56295
digital_literacy,45-59,higher,1,0.034,0.033820042431049545,0.00017995756895045761,128208
