attr,age_band,education_tier,level,prob,syn,abs_dev,cell_n
financial_vulnerability,19-29,lower,1,0.0,0.0,0.0,35305
financial_vulnerability,19-29,lower,2,0.0408,0.04090072227729783,0.00010072227729782807,35305
financial_vulnerability,19-29,lower,3,0.1146,0.1151394986545815,0.0005394986545815134,35305
financial_vulnerability,19-29,lower,4,0.2099,0.21130151536609545,0.0014015153660954516,35305
financial_vulnerability,19-29,lower,5,0.6347,0.6326582637020252,0.002041736297974883,35305
financial_vulnerability,19-29,higher,1,0.0217,0.021924371806854998,0.000224371806854997,110197
financial_vulnerability,19-29,higher,2,0.0476,0.047097470893037015,0.0005025291069629886,110197
financial_vulnerability,19-29,higher,3,0.0902,0.08980280769893917,0.0003971923010608336,110197
financial_vulnerability,19-29,higher,4,0.4049,0.40486583119322667,3.416880677331591e-05,110197
financial_vulnerability,19-29,higher,5,0.4356,0.43630951840794213,0.0007095184079421446,110197
financial_vulnerability,19-29,lower,1,0.0,0.0,0.0,35305
financial_vulnerability,19-29,lower,2,0.0408,0.04090072227729783,0.00010072227729782807,35305
financial_vulnerability,19-29,lower,3,0.1146,0.1151394986545815,0.0005394986545815134,35305
financial_vulnerability,19-29,lower,4,0.2099,0.21130151536609545,0.0014015153660954516,35305
financial_vulnerability,19-29,lower,5,0.6347,0.6326582637020252,0.002041736297974883,35305
financial_vulnerability,19-29,higher,1,0.0217,0.021924371806854998,0.000224371806854997,110197
financial_vulnerability,19-29,higher,2,0.0476,0.047097470893037015,0.0005025291069629886,110197
financial_vulnerability,19-29,higher,3,0.0902,0.08980280769893917,0.0003971923010608336,110197
financial_vulnerability,19-29,higher,4,0.4049,0.40486583119322667,3.416880677331591e-05,110197
financial_vulnerability,19-29,higher,5,0.4356,0.43630951840794213,0.0007095184079421446,110197
financial_vulnerability,30-44,lower,1,0.0303,0.030908606448174794,0.0006086064481747935,56295
financial_vulnerability,30-44,lower,2,0.1231,0.12310151878497202,1.5187849720238455e-06,56295
financial_vulnerability,30-44,lower,3,0.2173,0.21801225686117773,0.0007122568611777347,56295
financial_vulnerability,30-44,lower,4,0.3042,0.303277378097522,0.0009226219024780491,56295
financial_vulnerability,30-44,lower,5,0.325,0.3247002398081535,0.0002997601918465209,56295
financial_vulnerability,30-44,higher,1,0.1445,0.14450610067346165,6.100673461656436e-06,182193
financial_vulnerability,30-44,higher,2,0.236,0.23661172492905874,0.0006117249290587545,182193
financial_vulnerability,30-44,higher,3,0.2383,0.23763810903821772,0.000661890961782291,182193
financial_vulnerability,30-44,higher,4,0.2407,0.2415186093867492,0.0008186093867492139,182193
financial_vulnerability,30-44,higher,5,0.1404,0.13972545597251265,0.0006745440274873449,182193
financial_vulnerability,30-44,lower,1,0.0303,0.030908606448174794,0.0006086064481747935,56295
financial_vulnerability,30-44,lower,2,0.1231,0.12310151878497202,1.5187849720238455e-06,56295
financial_vulnerability,30-44,lower,3,0.2173,0.21801225686117773,0.0007122568611777347,56295
financial_vulnerability,30-44,lower,4,0.3042,0.303277378097522,0.0009226219024780491,56295
financial_vulnerability,30-44,lower,5,0.325,0.3247002398081535,0.0002997601918465209,56295
financial_vulnerability,30-44,higher,1,0.1445,0.14450610067346165,6.100673461656436e-06,182193
financial_vulnerability,30-44,higher,2,0.236,0.23661172492905874,0.0006117249290587545,182193
