step,reach_KVRB,reach_shuffled
1,0.061,0.06433333333333334
2,0.12,0.12866666666666668
3,0.17633333333333334,0.18433333333333332
4,0.242,0.247
5,0.30833333333333335,0.315
6,0.37733333333333335,0.38866666666666666
7,0.44366666666666665,0.4653333333333333
8,0.5063333333333333,0.5356666666666666
9,0.5576666666666666,0.604
10,0.606,0.6706666666666666
11,0.6576666666666666,0.7276666666666667
12,0.6996666666666667,0.774
13,0.7293333333333333,0.8113333333333334
14,0.758,0.8426666666666667
15,0.78,0.8693333333333333
16,0.801,0.8906666666666667
17,0.8196666666666667,0.9096666666666666
18,0.8376666666666667,0.9243333333333333
19,0.852,0.933
20,0.864,0.9413333333333334
21,0.8726666666666667,0.949
22,0.8773333333333333,0.956
23,0.882,0.9606666666666667
24,0.8883333333333333,0.963
25,0.8943333333333333,0.965
