target_mult,achieved_mult,threshold,overall_reach,overall_CI,coh_n,coh_reach,db_n,db_reach,db_reach_CI,db_gap_pp,db_gap_CI,leftbehind_per1k,lb_CI,topology
1.0,0.884,0.45,99.92,0.02,33.1,99.9,80.9,99.79,0.17,0.13,0.17,0.59,0.17,scalefree
1.29,1.263,0.45,99.91,0.02,42.7,99.51,88.8,99.66,0.23,0.26,0.22,0.61,0.16,scalefree
2.3,2.305,0.45,99.92,0.01,68.7,99.66,111.2,99.73,0.15,0.2,0.15,0.53,0.13,scalefree
1.0,0.884,0.55,99.88,0.03,33.1,99.81,80.9,99.67,0.25,0.2,0.24,0.78,0.21,scalefree
1.29,1.263,0.55,99.85,0.03,42.7,99.31,88.8,99.5,0.27,0.35,0.26,0.9,0.17,scalefree
2.3,2.305,0.55,99.87,0.03,68.7,99.56,111.2,99.61,0.22,0.26,0.21,0.74,0.16,scalefree
1.0,0.884,0.65,97.12,0.31,33.1,97.01,80.9,96.01,0.93,1.11,0.8,10.91,1.29,scalefree
1.29,1.263,0.65,97.12,0.27,42.7,96.64,88.8,96.07,1.09,1.05,0.96,10.88,0.94,scalefree
2.3,2.305,0.65,97.42,0.27,68.7,97.46,111.2,96.73,0.79,0.69,0.68,9.31,1.03,scalefree
1.0,0.884,0.45,98.94,0.19,33.1,99.9,80.9,99.71,0.22,-0.77,0.28,0.67,0.44,smallworld
1.29,1.263,0.45,99.02,0.19,42.7,99.86,88.8,99.81,0.19,-0.79,0.23,0.37,0.3,smallworld
2.3,2.305,0.45,99.0,0.18,68.7,99.96,111.2,99.94,0.08,-0.94,0.2,0.23,0.22,smallworld
1.0,0.884,0.55,92.69,0.51,33.1,96.9,80.9,95.9,1.17,-3.21,1.14,9.69,1.55,smallworld
1.29,1.263,0.55,92.91,0.44,42.7,97.37,88.8,96.05,1.03,-3.14,1.02,7.59,1.13,smallworld
2.3,2.305,0.55,93.21,0.46,68.7,97.61,111.2,97.76,0.91,-4.55,0.92,5.2,1.36,smallworld
1.0,0.884,0.65,79.27,0.51,33.1,78.22,80.9,73.74,1.81,5.53,1.81,52.69,2.72,smallworld
1.29,1.263,0.65,79.61,0.47,42.7,78.49,88.8,75.1,2.04,4.51,1.92,49.88,2.79,smallworld
2.3,2.305,0.65,80.59,0.48,68.7,84.15,111.2,81.8,1.56,-1.21,1.49,39.98,2.21,smallworld
